link,sumber
https://www.kabarbumn.com/trending/116718692/catat-damri-kasih-diskon-tiket-20-persen-di-tanggal-25-oktober,kabarbumn.com
https://www.kabarbumn.com/trending/116629499/damri-hadir-di-solo-run-fest-2025-bagi-bagi-diskon-tiket-hingga-rp300-ribu,kabarbumn.com
https://www.kabarbumn.com/rilis-bumn/115872284/damri-akap-bandar-lampung-solusi-transportasi-modern-yang-nyaman-dan-andal,kabarbumn.com
https://www.kabarbumn.com/trending/116618184/payday-sale-beli-tiket-damri-diskon-20-khusus-tanggal-25-september-2025,kabarbumn.com
https://www.kabarbumn.com/rilis-bumn/115701984/inovasi-unit-perbengkelan-damri-sukses-rekondisi-33-unit-bus,kabarbumn.com
https://www.tangerangraya.id/jalan-jalan/19514272144/damri-hadirkan-diskon-tiket-bus-akap-hingga-6-januari-2025,tangerangraya.id
https://www.liputan6.com/bisnis/read/6151685/jelang-libur-panjang-maulid-nabi-load-factor-bus-akap-damri-capai-69&ved=2ahUKEwi6_-ipsu6PAxV8LdAFHfiFGB4QxfQBegQIBxAC&usg=AOvVaw14PhB2At81elBNI6hAMMKX,liputan6.com
https://www.bantenraya.com/kota-serang/15608420/jadwal-dan-tarif-damri-perintis-dari-kota-serang-tujuan-baduy-dan-carita-tanpa-transit&ved=2ahUKEwi6_-ipsu6PAxV8LdAFHfiFGB4QxfQBegQIBhAC&usg=AOvVaw1PEfCoDdcjlE_XE6Wvh4C3,bantenraya.com
https://www.bantenraya.com/kota-serang/15590586/tak-hanya-tujuan-bandara-soetta-damri-kini-layani-berbagai-rute-akap-dari-kota-serang&ved=2ahUKEwi6_-ipsu6PAxV8LdAFHfiFGB4QxfQBegQIBBAC&usg=AOvVaw1Ipl46WWUyJhWnCDfomdSE,bantenraya.com
https://www.liputan6.com/bisnis/read/6151685/jelang-libur-panjang-maulid-nabi-load-factor-bus-akap-damri-capai-69&ved=2ahUKEwiW-YOqsu6PAxUI5ckDHTl8LTgQxfQBegQICBAC&usg=AOvVaw3PHrpeW2e6zBjIzmHaI60Q,liputan6.com
https://www.bantenraya.com/kota-serang/15608420/jadwal-dan-tarif-damri-perintis-dari-kota-serang-tujuan-baduy-dan-carita-tanpa-transit&ved=2ahUKEwiW-YOqsu6PAxUI5ckDHTl8LTgQxfQBegQIBBAC&usg=AOvVaw0FAt25i8XiPA0FLGTd6KR9,bantenraya.com
https://www.antaranews.com/berita/4152408/dukung-pariwisata-di-bangka-belitung-damri-sediakan-angkutan-kspn,antranews.com
https://banyuwangikab.go.id/berita/mudahkan-wisatawan-jelajahi-berbagai-destinasi-banyuwangi-sediakan-angkutan-wisata-gratis,banyuwangikab.go.id
https://www.suarabahana.com/2025/06/02/dukung-pariwisata-bangka-selatan-damri-buka-rute-bus-langsung-ke-toboali/,suarabahana.com
https://www.kompas.tv/lifestyle/587294/rute-dan-jadwal-damri-kawasan-bromo-berangkat-dari-surabaya-malang-tiket-mulai-rp12-000?page=all,kompas.tv
https://www.explorebromo.com/2020/10/bis-damri-batu-bromo.html,explorebromo.com
https://travel.detik.com/travel-news/d-7674164/ini-rute-tarif-hingga-cara-naik-bus-damri-ke-bromo,travel.detik.com
https://www.kompas.tv/lifestyle/621273/damri-buka-rute-lampung-wonosobo-wisata-ke-dieng-ada-tiket-promo-sampai-30-november-2025,kompas.com
https://www.kompas.tv/ekonomi/450527/rute-dan-jadwal-damri-ke-berbagai-kawasan-wisata-di-yogya-dari-candi-borobudur-hingga-pantai-baron,kompas.tv
https://infopublik.id/kategori/nasional-ekonomi-bisnis/619477/index.html,infopublik.id
https://www.traveloka.com/id-id/explore/destination/damri-klaten-rowo-jombor-rute-dan-harga-tiket-gt/634306,traveloka.com
,
https://jogjapolitan.harianjogja.com/read/2025/09/23/510/1229153/jadwal-damri-jogja-borobudur-semarang,jogjapolitan.harianjogja.com
https://www.tempo.co/hiburan/daftar-rute-damri-ke-berbagai-objek-wisata-yogyakarta-dari-malioboro-hingga-candi-borobudur-188884,tempo.co
https://jatengprov.go.id/beritadaerah/asyik-sekarang-wisata-girpasang-bisa-naik-bus-damri/,jatengprov.go.id
https://www.tempo.co/hiburan/banyuwangi-sediakan-angkutan-wisata-gratis-ke-13-destinasi-1473870,tempo.co
https://www.antaranews.com/berita/3532179/damri-layani-rute-menuju-berbagai-destinasi-pariwisata-di-yogyakarta,antaranews.com
https://rri.co.id/daerah/554138/perum-damri-buka-rute-ke-wisata-ujung-pandaran,rri.co.id
https://rri.co.id/padang/daerah/1387719/kspn-damri-rute-bim-solok-selatan-resmi-beroperasi,rri.co.id
https://www.antaranews.com/berita/4098216/long-weekend-bisa-liburan-di-yogyakarta-naik-angkutan-kspn-damri,antaranews.com
https://damri.co.id/id/berita/532/ada-rute-damri-jakartayogyakarta-solusi-perjalanan-andal-dan-tepat-waktu-mulai-rp225-ribu?hideLogo=false,damri.co.id
https://ekonomi.bisnis.com/read/20220607/98/1540746/damri-ekspansi-rute-pariwisata-di-madiun-raya-ini-rute-dan-jadwalnya,ekonomi.bisnis.com
https://jogjapolitan.harianjogja.com/read/2025/09/23/510/1229153/jadwal-damri-jogja-borobudur-semarang,jogjapolitan.harianjogja.com
https://mojok.co/terminal/bus-damri-rute-jember-ijen-menyelamatkan-pariwisata-bondowoso/,mojok.com
https://www.wartakita.org/tingkatkan-pariwisata-damri-siapkan-bus-wisata-layani-rute-rowo-jombor-dan-girpasang/,wartakita.org
https://news.republika.co.id/berita/r9glte349/damri-buka-4-rute-pariwisata-di-bukit-tinggi,news.republika.co.id
https://jogya.com/sudah-beroperasi-inilah-rute-jadwal-dan-tarif-bus-bus-wisata-damri-jogja/,jogya.com
https://www.idntimes.com/travel/tips/rute-bus-damri-kota-bandung-00-p3rq2-t29szr,indtimes.com
https://rri.co.id/mataram/daerah/1849720/pemkab-lotim-dorong-pengoperasian-kembali-bus-damri-ke-bil,rri.co.id
